edge	weight	E1_cov	E1_hits	E10_cov	E10_hits	E100_cov	E100_hits	E1000_cov	E1000_hits
profile_293 (EFL) cdd_263945	0.18	0.0062	2	0.072	23	0.18	59	0.33	106
profile_229 (EFL) cdd_263940	0.0015	0.00017	1	0.00017	1	0.0015	9	0.019	110
profile_237 (EFL) cdd_266551	0.0025	0.00027	1	0.00027	1	0.0025	9	0.016	59
profile_150 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_1 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_185 (EFL) cdd_266552	0.001	0.00052	1	0.00052	1	0.001	2	0.017	33
profile_262 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0027	10
profile_51 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_49 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_172 (EFL) cdd_100105	0.28	0.088	5	0.088	5	0.28	16	0.68	39
profile_225 (EFL) cdd_267297	0.84	0.84	112	0.84	112	0.84	112	0.97	129
profile_205 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.006	22
profile_218 (EFL) cdd_266586	0.51	0.42	72	0.44	74	0.51	86	0.54	91
profile_86 (EFL) cdd_248059	0.044	0.0063	1	0.0063	1	0.044	7	0.22	35
profile_299 (EFL) cdd_264361	0.0038	0.00064	1	0.00064	1	0.0038	6	0.014	22
profile_228 (EFL) cdd_247803	0.97	0.96	671	0.97	676	0.97	677	0.98	689
profile_129 (EFL) cdd_264488	0.65	0.63	1345	0.64	1365	0.65	1385	0.68	1444
profile_111 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_166 (EFL) cdd_266552	0.0021	0.00052	1	0.00052	1	0.0021	4	0.0062	12
profile_216 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0019	7
profile_213 (EFL) cdd_260433	0.0025	0.0015	3	0.002	4	0.0025	5	0.0034	7
profile_221 (EFL) cdd_260313	0.27	0.25	138	0.26	139	0.27	147	0.28	154
profile_107 (EFL) cdd_260235	0.001	0.00034	1	0.00034	1	0.001	3	0.029	85
profile_103 (EFL) cdd_261350	0.57	0.53	224	0.54	226	0.57	239	0.6	253
profile_224 (EFL) cdd_266669	0.72	0.39	161	0.47	197	0.72	297	0.84	349
profile_11 (EFL) cdd_263927	0.57	0.49	104	0.5	107	0.57	120	0.6	128
profile_164 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_55 (EFL) cdd_266485	0.00099	0.00025	1	0.00074	3	0.00099	4	0.015	62
profile_63 (EFL) cdd_238009	0.6	0.53	30	0.56	32	0.6	34	0.6	34
profile_25 (EFL) cdd_262530	0.36	0.32	63	0.32	63	0.36	72	0.39	78
profile_79 (EFL) cdd_265774	0.16	0.14	121	0.15	133	0.16	143	0.19	164
profile_87 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_188 (EFL) cdd_263929	0.013	0.012	13	0.012	13	0.013	14	0.014	15
profile_228 (EFL) cdd_262078	0.0045	0.0045	1	0.0045	1	0.0045	1	0.0045	1
profile_238 (EFL) cdd_119389	0.0057	0.0028	1	0.0028	1	0.0057	2	0.0057	2
profile_177 (EFL) cdd_260175	0.0083	0.0083	4	0.0083	4	0.0083	4	0.01	5
profile_242 (EFL) cdd_260247	0.002	0.001	1	0.001	1	0.002	2	0.013	13
profile_292 (EFL) cdd_266538	0.4	0.35	1155	0.38	1255	0.4	1329	0.45	1499
profile_48 (EFL) cdd_266539	0.037	0.025	22	0.025	22	0.037	32	0.053	46
profile_240 (EFL) cdd_265413	0.073	0.066	201	0.07	211	0.073	222	0.1	310
profile_271 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0036	13
profile_220 (EFL) cdd_260139	0.092	0.09	85	0.091	86	0.092	87	0.096	90
profile_256 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0021	4
profile_247 (EFL) cdd_261591	0.0023	0.0023	1	0.0023	1	0.0023	1	0.0069	3
profile_164 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_145 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0019	7
profile_19 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_112 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.014	2
profile_107 (EFL) cdd_263719	0.004	0.0005	1	0.0005	1	0.004	8	0.062	125
profile_91 (EFL) cdd_260251	0.75	0.68	204	0.68	204	0.75	226	0.76	230
profile_264 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_224 (EFL) cdd_266574	0.0017	0.0017	1	0.0017	1	0.0017	1	0.0035	2
profile_225 (EFL) cdd_247803	0.96	0.95	664	0.96	672	0.96	675	0.98	689
profile_272 (EFL) cdd_266551	0.00082	0.00082	3	0.00082	3	0.00082	3	0.0052	19
profile_57 (EFL) cdd_263758	0.0017	0.00056	1	0.00056	1	0.0017	3	0.0045	8
profile_64 (EFL) cdd_176599	0.026	0.026	1	0.026	1	0.026	1	0.026	1
profile_228 (EFL) cdd_266485	0.00049	0.00025	1	0.00025	1	0.00049	2	0.0071	29
profile_35 (EFL) cdd_263972	0.64	0.47	681	0.57	823	0.64	933	0.73	1064
profile_298 (EFL) cdd_265436	0.037	0.012	36	0.014	42	0.037	107	0.079	230
profile_125 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.014	2
profile_27 (EFL) cdd_265473	0.42	0.38	130	0.42	142	0.42	145	0.5	172
profile_301 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0021	4
profile_150 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_107 (EFL) cdd_260488	0.077	0.038	2	0.038	2	0.077	4	0.15	8
profile_63 (EFL) cdd_265651	0.00038	0.00038	1	0.00038	1	0.00038	1	0.0019	5
profile_277 (EFL) cdd_260375	0.92	0.89	144	0.89	144	0.92	148	0.93	149
profile_293 (EFL) cdd_263940	0.001	0.00017	1	0.00017	1	0.001	6	0.005	29
profile_144 (EFL) cdd_260226	0.087	0.077	15	0.077	15	0.087	17	0.092	18
profile_264 (EFL) cdd_266569	0.15	0.14	50	0.14	50	0.15	53	0.15	53
profile_294 (EFL) cdd_263508	0.004	0.004	1	0.004	1	0.004	1	0.004	1
profile_63 (EFL) cdd_263577	0.43	0.24	52	0.31	67	0.43	91	0.53	112
profile_83 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0025	9
profile_107 (EFL) cdd_260377	0.011	0.00072	1	0.00072	1	0.011	16	0.1	141
profile_107 (EFL) cdd_265651	0.0027	0.00038	1	0.00038	1	0.0027	7	0.049	128
profile_70 (EFL) cdd_260179	0.03	0.0083	3	0.0083	3	0.03	11	0.069	25
profile_154 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0031	6
profile_182 (EFL) cdd_260194	0.019	0.0035	2	0.0088	5	0.019	11	0.14	79
profile_86 (EFL) cdd_261368	0.022	0.0055	1	0.0055	1	0.022	4	0.25	46
profile_303 (EFL) cdd_266485	0.00074	0.00025	1	0.00025	1	0.00074	3	0.0044	18
profile_21 (EFL) cdd_238178	0.87	0.87	13	0.87	13	0.87	13	1.0	15
profile_212 (EFL) cdd_266695	0.043	0.043	3	0.043	3	0.043	3	0.043	3
profile_41 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_225 (EFL) cdd_264488	0.0023	0.00047	1	0.00047	1	0.0023	5	0.0085	18
profile_153 (EFL) cdd_260155	0.22	0.19	56	0.19	56	0.22	64	0.28	82
profile_56 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_107 (EFL) cdd_263730	0.0017	0.00021	1	0.00043	2	0.0017	8	0.027	124
profile_130 (EFL) cdd_266587	0.2	0.16	47	0.18	51	0.2	57	0.47	135
profile_86 (EFL) cdd_261300	0.0086	0.0029	6	0.0029	6	0.0086	18	0.1	210
profile_41 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_30 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_152 (EFL) cdd_213395	0.031	0.0061	2	0.0061	2	0.031	10	0.064	21
profile_198 (EFL) cdd_266526	0.00014	0.00014	1	0.00014	1	0.00014	1	0.0026	18
profile_234 (EFL) cdd_266551	0.00082	0.00027	1	0.00027	1	0.00082	3	0.019	68
profile_34 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_184 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_235 (EFL) cdd_266580	0.65	0.4	995	0.5	1241	0.65	1618	0.86	2146
profile_258 (EFL) cdd_267297	0.19	0.17	23	0.17	23	0.19	25	0.19	25
profile_260 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_38 (EFL) cdd_264347	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_244 (EFL) cdd_260370	0.017	0.014	9	0.016	10	0.017	11	0.025	16
profile_147 (EFL) cdd_266580	0.74	0.49	1218	0.6	1511	0.74	1865	0.84	2103
profile_242 (EFL) cdd_238113	0.97	0.96	170	0.97	171	0.97	171	0.98	173
profile_182 (EFL) cdd_260163	0.0085	0.0071	5	0.0071	5	0.0085	6	0.026	18
profile_27 (EFL) cdd_267447	0.17	0.17	4	0.17	4	0.17	4	0.78	18
profile_296 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0041	8
profile_202 (EFL) cdd_264356	0.049	0.026	9	0.026	9	0.049	17	0.052	18
profile_107 (EFL) cdd_266526	0.005	0.00043	3	0.00057	4	0.005	35	0.069	484
profile_38 (EFL) cdd_266502	0.001	0.00051	1	0.00051	1	0.001	2	0.0021	4
profile_281 (EFL) cdd_266546	0.24	0.2	105	0.21	109	0.24	126	0.32	166
profile_86 (EFL) cdd_266508	0.0051	0.00057	1	0.0017	3	0.0051	9	0.1	178
profile_127 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_94 (EFL) cdd_260363	0.76	0.72	133	0.72	134	0.76	142	0.78	146
profile_272 (EFL) cdd_266526	0.00014	0.00014	1	0.00014	1	0.00014	1	0.00029	2
profile_120 (EFL) cdd_266613	0.45	0.4	17	0.4	17	0.45	19	0.48	20
profile_287 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_225 (EFL) cdd_260251	0.0033	0.0033	1	0.0033	1	0.0033	1	0.0033	1
profile_123 (EFL) cdd_263925	0.00033	0.00033	1	0.00033	1	0.00033	1	0.0047	14
profile_246 (EFL) cdd_261339	0.0026	0.0013	1	0.0013	1	0.0026	2	0.004	3
profile_114 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_232 (EFL) cdd_260768	0.0068	0.00097	1	0.00097	1	0.0068	7	0.036	37
profile_38 (EFL) cdd_247903	0.92	0.7	71	0.73	74	0.92	94	0.93	95
profile_227 (EFL) cdd_260331	0.0076	0.0027	6	0.0045	10	0.0076	17	0.021	47
profile_214 (EFL) cdd_267460	0.002	0.00066	1	0.00066	1	0.002	3	0.0079	12
profile_86 (EFL) cdd_260873	0.023	0.0021	1	0.0021	1	0.023	11	0.096	45
profile_185 (EFL) cdd_260427	0.0052	0.00058	1	0.00058	1	0.0052	9	0.036	62
profile_200 (EFL) cdd_263730	0.00021	0.00021	1	0.00021	1	0.00021	1	0.00021	1
profile_86 (EFL) cdd_260427	0.0098	0.00058	1	0.00058	1	0.0098	17	0.12	210
profile_76 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.003	11
profile_160 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_183 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_107 (EFL) cdd_260155	0.0068	0.0034	1	0.0034	1	0.0068	2	0.051	15
profile_294 (EFL) cdd_238006	0.89	0.89	90	0.89	90	0.89	90	0.91	92
profile_107 (EFL) cdd_260326	0.033	0.0083	1	0.0083	1	0.033	4	0.15	18
cdd_261334 (SCOP) scop_48370	0.58	0.0	0	0.0	0	0.0	0	0.0	0
cdd_247903 (SCOP) scop_55485	0.17	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260768 (SCOP) scop_52171	0.9	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266669 (SCOP) scop_46688	0.32	0.0	0	0.0	0	0.0	0	0.0	0
cdd_153432 (SCOP) scop_49898	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267297 (SCOP) scop_52539	0.46	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267298 (SCOP) scop_53382	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266502 (SCOP) scop_53066	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263718 (SCOP) scop_63816	0.8	0.0	0	0.0	0	0.0	0	0.0	0
cdd_243239 (SCOP) scop_82614	0.41	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260137 (SCOP) scop_51068	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261674 (SCOP) scop_56058	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265771 (SCOP) scop_47768	0.33	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265774 (SCOP) scop_52095	0.77	0.0	0	0.0	0	0.0	0	0.0	0
cdd_119389 (SCOP) scop_56783	0.43	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260145 (SCOP) scop_47575	0.42	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263730 (SCOP) scop_54861	0.34	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265651 (SCOP) scop_56023	0.82	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263945 (SCOP) scop_52489	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263945 (SCOP) scop_55297	0.87	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260152 (SCOP) scop_57534	0.22	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260155 (SCOP) scop_51181	0.47	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260156 (SCOP) scop_49853	0.52	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260159 (SCOP) scop_52798	0.51	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260163 (SCOP) scop_53299	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260163 (SCOP) scop_57015	0.087	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238006 (SCOP) scop_52798	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260167 (SCOP) scop_55485	0.87	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260683 (SCOP) scop_48725	0.59	0.0	0	0.0	0	0.0	0	0.0	0
cdd_212556 (SCOP) scop_46688	0.081	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261709 (SCOP) scop_49898	0.79	0.0	0	0.0	0	0.0	0	0.0	0
cdd_212558 (SCOP) scop_46688	0.19	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260175 (SCOP) scop_55873	0.43	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261304 (SCOP) scop_48365	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260179 (SCOP) scop_47094	0.31	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260181 (SCOP) scop_46688	0.29	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260185 (SCOP) scop_54059	0.78	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260187 (SCOP) scop_46688	0.45	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260188 (SCOP) scop_100894	0.19	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260188 (SCOP) scop_57015	0.06	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260189 (SCOP) scop_54805	0.45	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260339 (SCOP) scop_53789	0.97	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260196 (SCOP) scop_54105	0.16	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265440 (SCOP) scop_49993	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266613 (SCOP) scop_48612	0.75	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260201 (SCOP) scop_50155	0.34	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260455 (SCOP) scop_52140	0.97	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261741 (SCOP) scop_55485	0.62	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260207 (SCOP) scop_100877	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260363 (SCOP) scop_54861	0.67	0.0	0	0.0	0	0.0	0	0.0	0
cdd_187839 (SCOP) scop_52539	0.12	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260138 (SCOP) scop_48556	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260226 (SCOP) scop_54235	0.35	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260227 (SCOP) scop_51160	0.96	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267400 (SCOP) scop_81602	0.038	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260235 (SCOP) scop_49763	0.43	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260205 (SCOP) scop_52820	0.51	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267411 (SCOP) scop_53648	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238178 (SCOP) scop_52934	0.55	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238178 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238178 (SCOP) scop_50799	0.32	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260247 (SCOP) scop_53612	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267417 (SCOP) scop_57015	0.092	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264346 (SCOP) scop_53162	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264347 (SCOP) scop_53447	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267420 (SCOP) scop_49784	0.6	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264349 (SCOP) scop_52150	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264350 (SCOP) scop_48507	0.88	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264352 (SCOP) scop_53253	0.88	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264353 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264354 (SCOP) scop_50629	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264355 (SCOP) scop_51229	0.42	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264356 (SCOP) scop_56552	0.5	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264356 (SCOP) scop_55247	0.38	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260261 (SCOP) scop_54861	0.26	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260262 (SCOP) scop_55894	0.83	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238247 (SCOP) scop_53162	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238247 (SCOP) scop_52948	0.44	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261289 (SCOP) scop_49598	0.57	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261289 (SCOP) scop_57943	0.17	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260269 (SCOP) scop_53773	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260269 (SCOP) scop_50181	0.16	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260271 (SCOP) scop_49898	0.93	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260274 (SCOP) scop_47026	0.37	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260275 (SCOP) scop_53954	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261300 (SCOP) scop_57715	0.14	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260278 (SCOP) scop_53589	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267447 (SCOP) scop_53473	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260280 (SCOP) scop_54196	0.75	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267449 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267450 (SCOP) scop_55830	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260285 (SCOP) scop_54861	0.58	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267455 (SCOP) scop_46457	0.18	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267455 (SCOP) scop_56820	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260291 (SCOP) scop_51125	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267460 (SCOP) scop_54712	0.5	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265413 (SCOP) scop_56299	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260295 (SCOP) scop_52334	0.77	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263719 (SCOP) scop_48725	0.49	0.0	0	0.0	0	0.0	0	0.0	0
cdd_211413 (SCOP) scop_53334	0.14	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263543 (SCOP) scop_52008	0.81	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265762 (SCOP) scop_57491	0.11	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265762 (SCOP) scop_50964	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260302 (SCOP) scop_53066	0.4	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261325 (SCOP) scop_52095	0.84	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260305 (SCOP) scop_47728	0.36	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260306 (SCOP) scop_69064	0.59	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260308 (SCOP) scop_50614	0.62	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260308 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263924 (SCOP) scop_81877	0.53	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263924 (SCOP) scop_50198	0.74	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260310 (SCOP) scop_55619	0.88	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260311 (SCOP) scop_47239	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265432 (SCOP) scop_49379	0.45	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261337 (SCOP) scop_54000	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261337 (SCOP) scop_57849	0.23	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260314 (SCOP) scop_53926	0.52	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260315 (SCOP) scop_53794	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260315 (SCOP) scop_68922	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265436 (SCOP) scop_54592	0.73	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260317 (SCOP) scop_81443	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265439 (SCOP) scop_50933	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_267315 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260323 (SCOP) scop_51337	0.72	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260323 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261350 (SCOP) scop_48349	0.99	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260327 (SCOP) scop_52539	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260329 (SCOP) scop_56654	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265450 (SCOP) scop_53066	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265450 (SCOP) scop_56671	0.38	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260331 (SCOP) scop_69863	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260331 (SCOP) scop_52373	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260331 (SCOP) scop_54805	0.57	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260873 (SCOP) scop_56746	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260334 (SCOP) scop_55199	0.28	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263920 (SCOP) scop_56111	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263922 (SCOP) scop_53705	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263923 (SCOP) scop_50684	0.59	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265460 (SCOP) scop_47768	0.33	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263925 (SCOP) scop_53334	0.037	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263925 (SCOP) scop_51734	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260342 (SCOP) scop_53270	0.43	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263927 (SCOP) scop_47363	0.7	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263927 (SCOP) scop_56644	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266488 (SCOP) scop_48536	0.81	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263929 (SCOP) scop_53900	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263931 (SCOP) scop_57015	0.12	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261372 (SCOP) scop_49898	0.81	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260349 (SCOP) scop_52120	0.66	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265470 (SCOP) scop_46688	0.021	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265470 (SCOP) scop_53162	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265470 (SCOP) scop_54861	0.7	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265470 (SCOP) scop_50614	0.46	0.0	0	0.0	0	0.0	0	0.0	0
cdd_259839 (SCOP) scop_48033	0.021	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266496 (SCOP) scop_52767	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265473 (SCOP) scop_53473	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266498 (SCOP) scop_48370	0.51	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260139 (SCOP) scop_88696	0.58	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260139 (SCOP) scop_55728	0.12	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260139 (SCOP) scop_50412	0.031	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260139 (SCOP) scop_52373	1.0	0.0	0	0.0	0	0.0	0	0.0	0
